Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,2GrWDf2KdZBBuzeMAEJuR3PtXeXCb2JiXi83239d3twuXAuoWx3v75gcfJ16p8anMYh6epfMjEAq2LjvHNg2ZYun,1695725427,2023-09-26T10:50:27,0.00001,EtNhHzwE6MghQGXd8wn6QXR3yeUFt2ajYVhuqhLpsy9H,inc,1295,4440,5735,5X5XhKKyZKpYpydFHResmBLsRaP9yvBHkUeykDHKWNzR,MSINV,OINV,,,
TokenChange,4oW4Vf7fLgWDxKMQAG5VjMaNWaUJAQRAceEn5pcnFhtQ1yrWoqq91Vycbbvxq4tFfA5HeevaanZS6rZ53pfaTfPE,1695630459,2023-09-25T08:27:39,0.00001,EtNhHzwE6MghQGXd8wn6QXR3yeUFt2ajYVhuqhLpsy9H,inc,1270,3170,4440,5X5XhKKyZKpYpydFHResmBLsRaP9yvBHkUeykDHKWNzR,MSINV,OINV,,,
TokenChange,4gpH9iNkQV1JwqU9ZRb1mu6QZGf9Ge6MgwzgxME2n3rnhFv7wN3no9hYFB9jbMWv6GYmNzVNwueZGKLcm3kzWJF8,1695556382,2023-09-24T11:53:02,0.00001,EtNhHzwE6MghQGXd8wn6QXR3yeUFt2ajYVhuqhLpsy9H,inc,1817,1353,3170,5X5XhKKyZKpYpydFHResmBLsRaP9yvBHkUeykDHKWNzR,MSINV,OINV,,,
TokenChange,5DYC57z9ES3vqVt2v7XpX5vYKtTqJ3FriHegJVSdezhbtgWA36qyXdkobe2EubKHFET82c4kGiLmTcEojXpb4YrT,1695441507,2023-09-23T03:58:27,0.00001,EtNhHzwE6MghQGXd8wn6QXR3yeUFt2ajYVhuqhLpsy9H,inc,1352,1,1353,5X5XhKKyZKpYpydFHResmBLsRaP9yvBHkUeykDHKWNzR,MSINV,OINV,,,
TokenChange,2vFxmnBE9yPNPuykCJ4dyqCbWrZFzC9DgdAjPxQvpvb8T7B3UJQHMA2QG5kbket9coD18kdoX5oCMSatBN3azrH8,1695405155,2023-09-22T17:52:35,0.000005,EtNhHzwE6MghQGXd8wn6QXR3yeUFt2ajYVhuqhLpsy9H,inc,1,,1,5X5XhKKyZKpYpydFHResmBLsRaP9yvBHkUeykDHKWNzR,MSINV,OINV,,,
TokenChange,vURcy9QPXB3tHF8w6ZAXi31jMwmBefnp75ChsyZDbFuQpNfCK1VNzFNY5cBezoN4QVPCxhaXY4iRScBWBmrikzZ,1694533443,2023-09-12T15:44:03,0.00001,FUb6izwNU3qZSa9FKUaQqM9YKqr8WzsqjjmDfJvdVQ5f,changeOwner,,1,1,DDWYZvXAjbRusEoCHEqFz5HL48P45MuAeMnKiiQbgeUm,QUOKK,QUOKK,,,
TokenChange,5t26yPD8JuFyKJ2YTmBb8cRZSp3cxD4uHiXHPbxYtfh8Juh5hBikK4EkGNnH1PXtC8QFzBJnAWvKMLpVH3MDrtww,1694533394,2023-09-12T15:43:14,0.00001,AJeUv9oRP5px2qHFxA2c1tpQF9TtBvKJrFNQjsZGfPis,changeOwner,,1,1,3rnDSwVXxqhbkc2K7X8ihCnc3Z7tmfGKm1HAyGk44Fnf,Mintin #382,MINT,,,
TokenChange,5AA98DgrgVCKJnumGNtwv7RuZSEjcsf7yEZVsRS1JP9W9LZnRpfHPBJfmYprwqgiA1uzFwLzAFLCxzW9vGSKbah2,1694532776,2023-09-12T15:32:56,0.000015,GDwS3qW6GTStDbBayPjcQPGkyoPgvZmisXdK6kn7QBeN,inc,8339.839816667,,8339.839816667,MLKmUCaj1dpBY881aFsrBwR9RUMoKic8SWT3u1q5Nkj,MILK,MILK,,,
TokenChange,3tyVBX5yfUKZNgm2r2hg5dxa8UVAspWWHwDDkTmLzsPm8W7jsYFcqrekNgUHcghk2ALdCtuhamw1JC4qFN9QpFqg,1694532611,2023-09-12T15:30:11,0.0000066,Gs6ehuq6mnBFHp3peJgid5pZMKtBrCs2VM2xfDaV1uBy,inc,500,4.324998787,504.324998787,3rFgy3p5u6NFRbEzDqt1NyHp1g3wX8WiWkEWZkmtxdFm,Shkary Sharks CHOMPS,CHOMPS,,,
TokenChange,5eU6Em3cXgDuw8BfYg4cksXTZxfwPYTfUeUbwXFcCwbKYFBcf97JyfhCkRrjkRGbnrPJbq5w7mP82gmMpc1HWdn3,1694532562,2023-09-12T15:29:22,0.0000066,AD42wiaHPgAvMLeWNdSc6CARpSziRovAKQCuhzuSN8x5,inc,1,,1,F4BUKHKaf2ZBUAmKXy8GLeSyEHGL8BLnfXDVXCW97A5M,SolChan Pet #858,,,,
TokenChange,5THoyndnCWCfQ43Lcy7bNFFX82BS33xaYivTtH38FgzeFinzuT9i4BQCG3HsR1VJtmeYtbkNMPV2JrNCwFZrb7hy,1694532544,2023-09-12T15:29:04,0.0000066,83XBdTfouFkJ98ryF2j4hiiuZ4KLFsCmRdmeCRke9CaG,inc,1100,,1100,EZNDZPU74yRdKe99pyUXHqmK3gvfJG9bvSHAcdQeDj18,Solful Coin,$SFL,,,
TokenChange,2xy8WXVHCtfm5LQQHUSioKgBdcJMCvhU6EfNUcZhQG6SJYUiaLxUKzJce32jR2cNKYfbakJ3dhMHdzjfHU4Vbqt5,1694532523,2023-09-12T15:28:43,0.0000066,Fz7aLk5ueAQHep5sABmgaL7ZmZDG9syRz5BQUj8hCvqN,inc,1,,1,Bg6ynBZRV69cTkFCKuPaHHYYTxXVQS8txXc7WVcccwMD,Mark of Kamohoalii ,SHARKDAO,,,
TokenChange,4R57rXfmUYJ7rp8LowUvoXp3mDnvou7MxgvR3pKV5XCdy2R7wgD4ApojyeUwL6gFsL5c68sUbxTK54YLmAniq8WB,1694532510,2023-09-12T15:28:30,0.0000066,4Vx2xXD9BBRNtTKXXN6wRMQRzDhuW59nZ52xKXiBDFv5,inc,1,,1,9c84x3u6i3dvEz74oig8dU1h73BmMP65ShKcv5BAESJn,Shkary Sharks #2898,SHARKS,,,
TokenChange,5UPr7DPjHBKXofNpdinueWqpNvQByWEZNTQxgQ5oLZcZa5zx65Q6PviDxTURpfYshwAsBJRsdZH5GR6j6dUSe2vk,1694532474,2023-09-12T15:27:54,0.0000066,Cc9zdZeqDyugMsABbBA3ot8WfDgjsUVmzhCLdoPC4thU,inc,1,,1,F3dPK8imEzTbh657ohrbsUSiZ6nGTifYTS1NTpbL6qof,Creature #2033,SC,,,
TokenChange,59cG72kFWReYniCQ3R2iwZ3ZhUqiX28XehFXzTQik5rgotWLYG99R1Ck2mhdmsp3L9kqJfCapka8ueqgysG6th2D,1694532376,2023-09-12T15:26:16,0.0000082,8CVqVu8mHYPGHr1tk4fme5m33hWS9Aiaacg78rbxmcTQ,closedAccount,1,1,,9C3s7sVazrDxukjvwERN7piUGSbwcnAm8vLXAirsCwHH,DustLabs,DUST,,,
TokenChange,4Ck1xS139ZHzAHzhVCJVztKa7R7DYwDtB4G2D3ReThWKqYB8uqJ942aEeCbawAHhVS64zfVjpknPTHXGfQQUbHH9,1694532315,2023-09-12T15:25:15,0.0000082,2tP6spwQHZ4kN9zkxX6mRYm1zd4ZXFKihDz8PGJekNU9,closedAccount,1,1,,37Zud2Nwcg5h8KvTnH6QB14hKyEfk4zmSgSDQtr7DaV8,Dust BOX,100 DUST,,,
TokenChange,56wpLfW22fbzjnEZznYLHrGhAJoJC9FDtThzB2hcgF5bq42LJKAnrbhDtBQqcoQVb5M9L8vK2e22y9VnSjWdBCek,1694532250,2023-09-12T15:24:10,0.0000082,2V7MznLUfkM7dhnepibmk3cHAvSC32zhWZfbbFsn7Wdq,closedAccount,2,2,,2Ux17szZGG4oPwU47FxgczhfawxUCKYPEW7MLc6UrNN5,Orca,OINV,,,
TokenChange,37tLiJMfcyncDXuCXb7aao4F9AMEK7aMSfJrH1QYZJgdAKqcJyHN8y4a5JVcgM8h9UuU5kaPd7wEuyVK2s6s4N6t,1694532155,2023-09-12T15:22:35,0.0000082,AzErDHzpFxz78mW9RcAr77JXgpXGRpagyfBuv1SwBNYr,closedAccount,1,1,,Ar1zprvXYoMLDsdLGniuA8RUu4tkg8MY2sKLKusXVKtu, Honey Box,HONEY,,,
TokenChange,4rJLDUeSNCRHxsG4eGU8yVref7RM7aqL1g5yn6FohevSzL1qf4Ubs51BaAjf58qLYj2dnYWRUQzTX24ag1PLqs1M,1694532050,2023-09-12T15:20:50,0.0000082,3tysAdgySAmUXueJgtPxqMjfXhZXjAiibeRgvmkCpdhY,closedAccount,1,1,,EmoAMWGHfAn8N3R6mvQ21GiBrjE3EiXUYWqNXCftBacL,Orсa,OINV,,,
TokenChange,3M6auqdE3bboKgx2m3fVHtkjZS1hQKxXL88ERkj2TggyCHjk3SByWb3xuDgHeE8cqumE5ndapfMwYhPUiwk6UTTG,1694531844,2023-09-12T15:17:24,0.0000082,HscRYokZtmj7qgTS76jc8Q8zw6XEsz82N8bSZbVmJfvK,closedAccount,1,1,,DSCFcbJRdMRzk8sCKz8GdDZiJZjNP1atRCFomkGzPq8i,Degen Mode | DeCalls,DMD,,,
TokenChange,3WB73PPuEofHL9fuscUX1rweJ2MeqDLCYEgQwqTe1wvZ4aVX7k2rX1bt5PDsrLWaQ9XG7WNR3xYz1qFBPoFSeayM,1693611265,2023-09-01T23:34:25,0.00001,2V7MznLUfkM7dhnepibmk3cHAvSC32zhWZfbbFsn7Wdq,inc,1,1,2,2Ux17szZGG4oPwU47FxgczhfawxUCKYPEW7MLc6UrNN5,Orca,OINV,,,
TokenChange,38wtxUH7ochiKrgZUbBJQ1T7HMetkcdj7PtadWnissxi2G6gML5gnDY1dxptVqpubWV91eBNWZtN2t8PHgouCvqx,1693186975,2023-08-28T01:42:55,0.000005,2V7MznLUfkM7dhnepibmk3cHAvSC32zhWZfbbFsn7Wdq,inc,1,,1,2Ux17szZGG4oPwU47FxgczhfawxUCKYPEW7MLc6UrNN5,Orca,OINV,,,
TokenChange,5EWtsVBC9tM14q1j8yAxrCudgkxwT4Mbc2qUQz5xSzBtBKrxSg3HTz5ptfJdWufY54i16BdWRHtKqn5NnH7Ag8vf,1692435798,2023-08-19T09:03:18,0.000005,AzErDHzpFxz78mW9RcAr77JXgpXGRpagyfBuv1SwBNYr,inc,1,,1,Ar1zprvXYoMLDsdLGniuA8RUu4tkg8MY2sKLKusXVKtu, Honey Box,HONEY,,,
TokenChange,vMUkKwJbV1HU1PBKQ7931V3gf76XUytCxqkBA8ZMKXKyjHYfPkpL3JLcDEVFDtxazkCau87YupbryAafDmewTPV,1690917005,2023-08-01T19:10:05,0.000005,3tysAdgySAmUXueJgtPxqMjfXhZXjAiibeRgvmkCpdhY,inc,1,,1,EmoAMWGHfAn8N3R6mvQ21GiBrjE3EiXUYWqNXCftBacL,Orсa,OINV,,,
TokenChange,65pbCxyAQjcucBqFcMLa33DD34X2W3br9Vhi6sLKpnukYgZTC8vvGAY59ByrJeDLFiUZgZrK8uJz7DnjK3DxQqrY,1685724769,2023-06-02T16:52:49,0.000005,2tP6spwQHZ4kN9zkxX6mRYm1zd4ZXFKihDz8PGJekNU9,inc,1,,1,37Zud2Nwcg5h8KvTnH6QB14hKyEfk4zmSgSDQtr7DaV8,Dust BOX,DHD,,,
TokenChange,3dk8Axexi97Kt9V7eAYBdx4vyT4EicBEnZSJfZvwcXYiHov9yaAeDUzq8aKrVxiRGQ57h4uV5B3ehJfJZ7WfgpQb,1684353415,2023-05-17T19:56:55,0.000005,HscRYokZtmj7qgTS76jc8Q8zw6XEsz82N8bSZbVmJfvK,inc,1,,1,DSCFcbJRdMRzk8sCKz8GdDZiJZjNP1atRCFomkGzPq8i,Degen Mode | DeCalls,DMD,,,
TokenChange,45C7bU8fDCBBrJSfB6UHkao512vbqvZVVD5468gSxqz33dpHHRqsSPkzzpziiY8XWhCnvL17jHtqYp1djjLzSJHq,1683103941,2023-05-03T08:52:21,0.000005,8CVqVu8mHYPGHr1tk4fme5m33hWS9Aiaacg78rbxmcTQ,inc,1,,1,9C3s7sVazrDxukjvwERN7piUGSbwcnAm8vLXAirsCwHH,DustLabs,,,,
TokenChange,tx8UeScmH9HXWfPNznseRFsrHxEdKgCBTn8mZk5VSgpvnn3xeg4GPFUCpvtnPw911rre3uLRjDscrEdAYwUky4B,1683103836,2023-05-03T08:50:36,0.000005,3dTFVQ31jVCMcLm8aZtHCr1tGy5GtkyuLSstb6hCkdvA,inc,1,,1,42Pymg6NiqDNCAqnqwdWb3L44sfpo8M58sHFVj9mmMqF,Cet #5059,CoC,,,
TokenChange,tx8UeScmH9HXWfPNznseRFsrHxEdKgCBTn8mZk5VSgpvnn3xeg4GPFUCpvtnPw911rre3uLRjDscrEdAYwUky4B,1683103836,2023-05-03T08:50:36,0.000005,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,inc,28.219819444,0,28.219819444,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,43mJ9Hn47Kja3vypuo9HcXxxpdxUG2VscsBR2XBwfcu9Do2jry7pqJbYqu9kSmCPG9ftEKvNGQiqnU9KnZr84ZeT,1683103056,2023-05-03T08:37:36,0.000005,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,inc,0,,0,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,3h15WgN6xks9t3gAJeCPP83fa2difGUnRoDq5Y3JW87UkT41AkJKdMb76fNy8dJVDDvzVCp6SLfW8p1FRXTLR96H,1682525244,2023-04-26T16:07:24,0.000005,4WKfrQnGgvQdiSiNQxvP8WWmnXkSwvBpJ1dpBKkzJiir,closedAccount,1,1,,3jCJUB5QBypWE4reSgfaEvchAGdy644TMeAWLkW6Pn2q,DEX Community,,,,
TokenChange,3h15WgN6xks9t3gAJeCPP83fa2difGUnRoDq5Y3JW87UkT41AkJKdMb76fNy8dJVDDvzVCp6SLfW8p1FRXTLR96H,1682525244,2023-04-26T16:07:24,0.000005,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,closedAccount,0.111493054,0.111493054,,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,3h15WgN6xks9t3gAJeCPP83fa2difGUnRoDq5Y3JW87UkT41AkJKdMb76fNy8dJVDDvzVCp6SLfW8p1FRXTLR96H,1682525244,2023-04-26T16:07:24,0.000005,EZHnZ6ujWiWd8Eriu5p7SRFFZxZDU9vr3iBphrPiHpWT,closedAccount,1,1,,AtRxLTgFpnbGVBDx8Y2zkcgdyyyiidQ7JwAyJAo9FmSL,Cets Enlightenment Crystal,,,,
TokenChange,3h15WgN6xks9t3gAJeCPP83fa2difGUnRoDq5Y3JW87UkT41AkJKdMb76fNy8dJVDDvzVCp6SLfW8p1FRXTLR96H,1682525244,2023-04-26T16:07:24,0.000005,GDwS3qW6GTStDbBayPjcQPGkyoPgvZmisXdK6kn7QBeN,closedAccount,0.326051389,0.326051389,,MLKmUCaj1dpBY881aFsrBwR9RUMoKic8SWT3u1q5Nkj,MILK,MILK,,,
TokenChange,QFDLHhsdY3o3HcxEarAvztbkrN6eAYgWvFULAXJZ2YhGvDczSKMXMFcRqQFVhAA7zrar8vEv4Du5DXZdxLcUdqN,1682524782,2023-04-26T15:59:42,0.000105,GDwS3qW6GTStDbBayPjcQPGkyoPgvZmisXdK6kn7QBeN,dec,-679,679.326051389,0.326051389,MLKmUCaj1dpBY881aFsrBwR9RUMoKic8SWT3u1q5Nkj,MILK,MILK,,,
TokenChange,2m26xReUVnt2G78d7B7RRKcYC4RyUEBG1UBd6LL1cKQbjBtMeC8YseoyxsmxU2Dn3QCUduso3raUVKBpor5hEykf,1682524655,2023-04-26T15:57:35,0.000105,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,dec,-45,45.111493054,0.111493054,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,4RsGL4U2K4ze7BXuTqBwgiWovtbzHf1A81iU3A2P6SYXWFVsnVFRdV4C8AoYncffzXmR8tEHnHRX4F9BBEzFDjoL,1682523383,2023-04-26T15:36:23,0.000015,GDwS3qW6GTStDbBayPjcQPGkyoPgvZmisXdK6kn7QBeN,inc,678.748782639,0.57726875,679.326051389,MLKmUCaj1dpBY881aFsrBwR9RUMoKic8SWT3u1q5Nkj,MILK,MILK,,,
TokenChange,4mmTFyFHWTeT5FVuWDd8fEgPgKYtJd31f5PRhC9PZyt5ieZ6yHV5XUdqizd5K89frNoWWXy7bXq8nEPXg9Q6KHyH,1682523314,2023-04-26T15:35:14,0.000005,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,inc,44.824986111,0.286506943,45.111493054,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,5pXG7yRBTbFnRY3DDeXxvFJzwsTrccSNUEhrg6BwkRUNxZoPQpZigfosoj5Vn5kXnfF2SEpNgCDQbtm4huh4Ztjp,1682364636,2023-04-24T19:30:36,0.000005,4WKfrQnGgvQdiSiNQxvP8WWmnXkSwvBpJ1dpBKkzJiir,inc,1,,1,3jCJUB5QBypWE4reSgfaEvchAGdy644TMeAWLkW6Pn2q,DEX Community,,,,
TokenChange,33QGtKyZob7ZA4xtnFYFCULoyK81tGfSZK3QsUhyyfFqVDH9orJF6HJQgGRmxcgJeqUgQDisKe6HnMKXym4SvLjc,1681875311,2023-04-19T03:35:11,0.000005,EZHnZ6ujWiWd8Eriu5p7SRFFZxZDU9vr3iBphrPiHpWT,inc,1,0,1,AtRxLTgFpnbGVBDx8Y2zkcgdyyyiidQ7JwAyJAo9FmSL,Cets Enlightenment Crystal,,,,
TokenChange,2P5gcuPzoTHdMkq15tQtqab1pufzgV4JXBEdrZhM1RDFxihDz2r3y6etsUxgbMKdEKdhRRtTGjo4Miip4c1AsyVm,1681875307,2023-04-19T03:35:07,0.000005,EZHnZ6ujWiWd8Eriu5p7SRFFZxZDU9vr3iBphrPiHpWT,inc,0,,0,AtRxLTgFpnbGVBDx8Y2zkcgdyyyiidQ7JwAyJAo9FmSL,Cets Enlightenment Crystal,,,,
TokenChange,34djrYSCTvRWBoLisfiHS4R6RcQvNiiAHuc54p3yaurcaU21vavASnevfaRXFyjzy4pSmqixRC1JDAftmfMu6uy1,1681601200,2023-04-15T23:26:40,0.000005,3dTFVQ31jVCMcLm8aZtHCr1tGy5GtkyuLSstb6hCkdvA,closedAccount,1,1,,42Pymg6NiqDNCAqnqwdWb3L44sfpo8M58sHFVj9mmMqF,Cet #5059,CoC,,,
TokenChange,16ojtkRoDwiX4wSSzhuVYDmFQKDJVwQ8RVE92vqmWhSUFCF7NTAsJ3UqHX5udGfc3zkBspwUFR3btYnXoZGiaGX,1681546452,2023-04-15T08:14:12,0.000105,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,dec,-68,68.286506943,0.286506943,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,4rA172NvMM63fvyKjZhGqUwbmPGQZerot8gVScGj2wD9Yjhqzoo2N4jNN94oLxxcUX3WXC4PgDeLLXNWL1f9bEcu,1681546185,2023-04-15T08:09:45,0.000105,GDwS3qW6GTStDbBayPjcQPGkyoPgvZmisXdK6kn7QBeN,inc,-1089,1089.57726875,0.57726875,MLKmUCaj1dpBY881aFsrBwR9RUMoKic8SWT3u1q5Nkj,MILK,MILK,,,
TokenChange,SZ74vADrFEWT5Hvmtv76mGXiTMnrK2inkQ5jyfeeihavkhUdwjWkMPF1CTFSe4fAxn6YU1YDAtjn3joyfJxjQCk,1681545985,2023-04-15T08:06:25,0.000015,GDwS3qW6GTStDbBayPjcQPGkyoPgvZmisXdK6kn7QBeN,inc,1089.57726875,,1089.57726875,MLKmUCaj1dpBY881aFsrBwR9RUMoKic8SWT3u1q5Nkj,MILK,MILK,,,
TokenChange,5zdgZWpHGbmVh3SRqCbA4R18G6R7vkddFwU2pSjJRsZBQX4wcjwMSSfbMurnEJmnM5EzMW6UUXjbDic6wKT2CFsn,1681545932,2023-04-15T08:05:32,0.000005,3F12sRDYo4u8gs8FFHZvDxPG1aLZoSMRScJ2qdYAcQeV,closedAccount,1,1,,61KPDhsGRqKYW5pU3bvnz3WnNvJAQh1TBzHW3sDMVGgy,Star Atlas,,,,
TokenChange,tM7GaRkP824d481waRxaLQqVkpC7itF7GvBnvmgx8mFz9ikbxUepUE2hdfqVwBWFWHBFpoSyPqp5K69aAQgPjYY,1681545932,2023-04-15T08:05:32,0.000005,87LU4JDbgpWDL1mYW6qALmcDRv2WnDMEgE5ckDuBbLDz,closedAccount,0,0,,HUx5RjaQgxnU6hBUndacZWydkyQMV7mtebxRozDzT47Y,,,,,
TokenChange,5t2krYm8DifKQ2JQcwasZJviVpVCKoXSad6CqRXMUTCNcigcFKNWpEYriLjxcFVUEKSschNZ3naSj5oLpdiMSxcU,1681381824,2023-04-13T10:30:24,0.000005,3dTFVQ31jVCMcLm8aZtHCr1tGy5GtkyuLSstb6hCkdvA,inc,1,,1,42Pymg6NiqDNCAqnqwdWb3L44sfpo8M58sHFVj9mmMqF,Cet #5059,CoC,,,
TokenChange,5t2krYm8DifKQ2JQcwasZJviVpVCKoXSad6CqRXMUTCNcigcFKNWpEYriLjxcFVUEKSschNZ3naSj5oLpdiMSxcU,1681381824,2023-04-13T10:30:24,0.000005,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,inc,41.164763888,27.121743055,68.286506943,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,274rXYMprZbkrv9ampMqfhjuqvVjZKaHZCwsDPDCCYNEdbTuKh2Sz47jY6q24kHcUNQFcWXXWhGBzGBK7GvKwJAm,1680535006,2023-04-03T15:16:46,0.000005,7f8jjWMzmBGr5ropCSZWJmpEP4P3GDCoAJUbEeinvSfk,inc,27.121743055,,27.121743055,Ao94rg8D6oK2TAq3nm8YEQxfS73vZ2GWYw2AKaUihDEY,CRECK,$CRECK,,,
TokenChange,64eYLvUNynFoJaMJx4yded6CWGKmnTo5M7NRmon3yTGQ3aiU4JGVYqz4sbnNgCsHRCB4m52qbuU9VKLZ9bJEBx4S,1680364004,2023-04-01T15:46:44,0.000005,87LU4JDbgpWDL1mYW6qALmcDRv2WnDMEgE5ckDuBbLDz,dec,-1,1,0,HUx5RjaQgxnU6hBUndacZWydkyQMV7mtebxRozDzT47Y,,,,,
